candidate_id,name,strategy_name,strategy_params,universe,benchmark,data_start,data_end,research_run_dir,selected_at_utc,selected_by,status,approval_notes,risk_notes,known_limitations,required_capital,expected_rebalance_frequency,max_weight_per_asset,max_gross_exposure,estimated_turnover,expected_cost_sensitivity,tags,rejection_reasons
moving_average_trend_filter-ma_trend_etf_real_daily_20260714_041842,ma_trend_etf_real_daily,moving_average_trend_filter,"{'sma_window': 50, 'rebalance_frequency': 'monthly', 'max_weight_per_asset': 0.25}","['GLD', 'IWM', 'QQQ', 'SPY', 'TLT']",equal_weight_universe,2019-03-15 00:00:00+00:00,2024-12-31 00:00:00+00:00,outputs/ma_trend_etf_real_daily_20260714_041842,2026-07-14T04:27:02+00:00,quant-trade selection,rejected,,Simulated paper trading only; no broker connectivity.,Selected from historical research artifacts; not evidence of future profitability.,100000.0,monthly,0.25,1.0,32.315354790337366,pass,"['phase5', 'simulated-paper-only']","['missing or insufficient probabilistic Sharpe ratio', 'deflated Sharpe 0.001 below 0.5 (after 58 recorded trials)', 'missing or excessive test drawdown', 'missing or excessive turnover', 'missing or insufficient excess return', 'strategy does not beat benchmark']"
simple_mean_reversion_etf-mean_reversion_etf_real_daily_20260714_041905,mean_reversion_etf_real_daily,simple_mean_reversion_etf,"{'short_window': 5, 'z_entry': -1.0, 'trend_window': 50, 'rebalance_frequency': 'weekly', 'max_weight_per_asset': 0.25}","['GLD', 'IWM', 'QQQ', 'SPY', 'TLT']",equal_weight_universe,2019-03-29 00:00:00+00:00,2024-12-31 00:00:00+00:00,outputs/mean_reversion_etf_real_daily_20260714_041905,2026-07-14T04:27:02+00:00,quant-trade selection,rejected,,Simulated paper trading only; no broker connectivity.,Selected from historical research artifacts; not evidence of future profitability.,100000.0,weekly,0.25,1.0,49.65647197051797,pass,"['phase5', 'simulated-paper-only']","['missing or insufficient probabilistic Sharpe ratio', 'deflated Sharpe 0.000 below 0.5 (after 58 recorded trials)', 'missing or insufficient test Sharpe', 'missing or excessive turnover', 'missing or insufficient excess return', 'strategy does not beat benchmark']"
time_series_momentum-ts_momentum_etf_real_daily_20260714_041757,ts_momentum_etf_real_daily,time_series_momentum,"{'lookback_days': 63, 'rebalance_frequency': 'monthly', 'max_weight_per_asset': 0.25}","['GLD', 'IWM', 'QQQ', 'SPY', 'TLT']",equal_weight_universe,2019-04-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,outputs/ts_momentum_etf_real_daily_20260714_041757,2026-07-14T04:27:02+00:00,quant-trade selection,rejected,,Simulated paper trading only; no broker connectivity.,Selected from historical research artifacts; not evidence of future profitability.,100000.0,monthly,0.25,1.0,23.922999051532415,pass,"['phase5', 'simulated-paper-only']","['deflated Sharpe 0.004 below 0.5 (after 58 recorded trials)', 'missing or excessive turnover', 'missing or insufficient excess return', 'strategy does not beat benchmark']"
volatility_scaled_momentum-volatility_scaled_momentum_etf_real_daily_20260714_041929,volatility_scaled_momentum_etf_real_daily,volatility_scaled_momentum,"{'lookback_days': 63, 'volatility_window': 21, 'rebalance_frequency': 'monthly', 'max_weight_per_asset': 0.25}","['GLD', 'IWM', 'QQQ', 'SPY', 'TLT']",equal_weight_universe,2019-04-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,outputs/volatility_scaled_momentum_etf_real_daily_20260714_041929,2026-07-14T04:27:02+00:00,quant-trade selection,rejected,,Simulated paper trading only; no broker connectivity.,Selected from historical research artifacts; not evidence of future profitability.,100000.0,monthly,0.25,1.0,23.465465044333236,pass,"['phase5', 'simulated-paper-only']","['deflated Sharpe 0.006 below 0.5 (after 58 recorded trials)', 'missing or excessive turnover', 'missing or insufficient excess return', 'strategy does not beat benchmark']"
cross_sectional_momentum-cross_sectional_momentum_etf_real_daily_20260714_041819,cross_sectional_momentum_etf_real_daily,cross_sectional_momentum,"{'lookback_days': 63, 'top_n': 2, 'rebalance_frequency': 'monthly', 'max_weight_per_asset': 0.25}","['GLD', 'IWM', 'QQQ', 'SPY', 'TLT']",equal_weight_universe,2019-04-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,outputs/cross_sectional_momentum_etf_real_daily_20260714_041819,2026-07-14T04:27:02+00:00,quant-trade selection,rejected,,Simulated paper trading only; no broker connectivity.,Selected from historical research artifacts; not evidence of future profitability.,100000.0,monthly,0.25,1.0,26.863408724752546,pass,"['phase5', 'simulated-paper-only']","['missing or insufficient probabilistic Sharpe ratio', 'deflated Sharpe 0.000 below 0.5 (after 58 recorded trials)', 'missing or insufficient test Sharpe', 'missing or excessive test drawdown', 'missing or excessive turnover', 'missing or insufficient excess return', 'strategy does not beat benchmark']"
